iter	MultiClass
0	1.095783883
1	1.094319434
2	1.091908045
3	1.088648036
4	1.08642297
5	1.083750493
6	1.081743235
7	1.079687834
8	1.078651229
9	1.076233924
10	1.074153583
11	1.070306858
12	1.067672276
13	1.065070085
14	1.062974785
15	1.061201025
16	1.060174765
17	1.05724441
18	1.055227051
19	1.053086818
20	1.050820741
21	1.048452378
22	1.046394898
23	1.044770099
24	1.042558628
25	1.039612344
26	1.03753291
27	1.035334003
28	1.032695773
29	1.030979103
30	1.028464943
31	1.026996812
32	1.025593655
33	1.023680924
34	1.021150416
35	1.019397218
36	1.017875341
37	1.016069186
38	1.014435377
39	1.012176486
40	1.010228443
41	1.008964427
42	1.007555197
43	1.005835095
44	1.004215394
45	1.002705508
46	1.001165751
47	1.000141716
48	0.9989225914
49	0.9973212665
50	0.9956848661
51	0.9939290738
52	0.9931741939
53	0.9920467072
54	0.9899689117
55	0.9872359949
56	0.9859189496
57	0.9835121559
58	0.9824364327
59	0.9811533899
60	0.980104272
61	0.9782734418
62	0.9769375357
63	0.9762360693
64	0.9746418889
65	0.9729513872
66	0.9708752327
67	0.9691501264
68	0.9670486093
69	0.9660437411
70	0.9647902781
71	0.9629875246
72	0.9610563554
73	0.9596710201
74	0.9578911285
75	0.9557523869
76	0.9545100588
77	0.9537617517
78	0.9521591103
79	0.9507702471
80	0.9483934435
81	0.946853395
82	0.9457129457
83	0.9447209568
84	0.9436304782
85	0.9418431368
86	0.9399987344
87	0.9390946741
88	0.9384200397
89	0.9376960881
90	0.9357662923
91	0.9347182913
92	0.9333741488
93	0.9320222428
94	0.9303295599
95	0.9288639926
96	0.9282302352
97	0.9271509991
98	0.9262380019
99	0.9247491781
100	0.9237187775
101	0.9223695036
102	0.9210169905
103	0.9194334954
104	0.9184746004
105	0.9172979522
106	0.915777057
107	0.9142509874
108	0.9124930832
109	0.9102655514
110	0.9085839038
111	0.9078558171
112	0.9069940191
113	0.9055709495
114	0.904276486
115	0.9022702082
116	0.9011657458
117	0.90007073
118	0.8983846891
119	0.8974658872
120	0.8958493144
121	0.8943400233
122	0.8927817462
123	0.8917982916
124	0.8907865345
125	0.8898395595
126	0.888189884
127	0.8871185313
128	0.8852690725
129	0.8839946352
130	0.8827390276
131	0.8819536045
132	0.8810262599
133	0.8792776944
134	0.8779823161
135	0.8768852378
136	0.8749569773
137	0.873913222
138	0.8728329298
139	0.8716853781
140	0.8709595688
141	0.8694543592
142	0.8679914054
143	0.866302287
144	0.8653301172
145	0.8641050726
146	0.8627678737
147	0.861016104
148	0.8597813153
149	0.8587819673
