iter	Passed	Remaining
0	166	16476
1	175	8609
2	193	6242
3	203	4881
4	213	4061
5	222	3485
6	229	3043
7	233	2683
8	237	2401
9	242	2180
10	246	1993
11	250	1839
12	255	1710
13	259	1596
14	264	1497
15	268	1410
16	273	1334
17	277	1265
18	281	1201
19	286	1144
20	290	1091
21	294	1045
22	298	999
23	302	956
24	306	918
25	310	883
26	314	850
27	319	820
28	323	791
29	327	763
30	330	736
31	335	712
32	339	689
33	343	667
34	347	645
35	352	625
36	355	605
37	359	587
38	364	569
39	368	552
40	372	535
41	377	521
42	382	506
43	386	491
44	390	476
45	394	462
46	398	449
47	402	436
48	407	424
49	411	411
50	415	399
51	419	387
52	424	376
53	428	364
54	432	353
55	436	342
56	440	332
57	444	321
58	447	311
59	451	300
60	455	291
61	459	281
62	462	271
63	466	262
64	470	253
65	474	244
66	478	235
67	481	226
68	486	218
69	491	210
70	498	203
71	504	196
72	511	189
73	521	183
74	531	177
75	538	169
76	546	163
77	554	156
78	560	148
79	564	141
80	569	133
81	573	125
82	578	118
83	582	110
84	587	103
85	592	96
86	596	89
87	601	81
88	606	74
89	610	67
90	616	60
91	621	54
92	625	47
93	629	40
94	634	33
95	638	26
96	643	19
97	647	13
98	652	6
99	656	0
