asset_class,model_name,fold_name,train_samples,test_samples,calibrated_threshold,is_win_rate,oos_win_rate,wfe,oos_profit_factor,oos_mean_return,oos_max_dd,oos_trade_count,passed_fold_gate
EQUITY,LogisticRegression_L2,Fold 1 (2024 -> Q1 2025),4780,1240,0.4573,57.02,37.21,0.653,0.93,-0.09,54.66,129,False
EQUITY,LogisticRegression_L2,Fold 2 (2024–H1 2025 -> Q3 2025),7240,1280,0.4437,49.79,47.46,0.953,1.21,0.19,29.77,59,True
EQUITY,LogisticRegression_L2,Fold 3 (2024–2025 -> 2026 Live),9761,3140,0.4443,49.18,34.41,0.7,0.77,-0.32,238.82,587,False
EQUITY,RidgeClassifier,Fold 1 (2024 -> Q1 2025),4780,1240,0.4785,56.81,38.21,0.673,0.99,-0.02,51.91,123,False
EQUITY,RidgeClassifier,Fold 2 (2024–H1 2025 -> Q3 2025),7240,1280,0.4718,50.28,48.28,0.96,1.25,0.23,27.97,58,True
EQUITY,RidgeClassifier,Fold 3 (2024–2025 -> 2026 Live),9761,3140,0.472,48.83,34.01,0.696,0.76,-0.34,245.55,588,False
EQUITY,DecisionTree_Shallow,Fold 1 (2024 -> Q1 2025),4780,1240,0.5249,68.66,27.96,0.407,0.59,-0.62,62.44,93,False
EQUITY,DecisionTree_Shallow,Fold 2 (2024–H1 2025 -> Q3 2025),7240,1280,0.4435,56.18,41.94,0.747,0.83,-0.17,17.33,31,False
EQUITY,DecisionTree_Shallow,Fold 3 (2024–2025 -> 2026 Live),9761,3140,0.5088,56.61,35.36,0.625,0.85,-0.2,183.08,659,False
EQUITY,RandomForest_Robust,Fold 1 (2024 -> Q1 2025),4780,1240,0.4724,72.23,29.79,0.412,0.67,-0.5,106.32,141,False
EQUITY,RandomForest_Robust,Fold 2 (2024–H1 2025 -> Q3 2025),7240,1280,0.4537,64.69,47.56,0.735,1.28,0.23,21.82,82,True
EQUITY,RandomForest_Robust,Fold 3 (2024–2025 -> 2026 Live),9761,3140,0.4493,63.15,35.13,0.556,0.85,-0.2,152.29,575,False
EQUITY,ExtraTrees_Robust,Fold 1 (2024 -> Q1 2025),4780,1240,0.431,67.86,28.68,0.423,0.62,-0.57,97.3,136,False
