iter	Logloss
0	0.6899713747
1	0.6871957461
2	0.68522318
3	0.6837073078
4	0.6823402303
5	0.6808223593
6	0.6794895037
7	0.6781390022
8	0.6765862939
9	0.6757178713
10	0.6755248243
11	0.6742669066
12	0.6732994334
13	0.6723755535
14	0.6716803368
15	0.6708464873
16	0.6699714625
17	0.6692617105
18	0.6681256403
19	0.6675716871
20	0.666530384
21	0.6657904188
22	0.6648591286
23	0.6640635985
24	0.6631863725
25	0.6627994941
26	0.6621317953
27	0.6615517671
28	0.6614611153
29	0.6607869658
30	0.6602135106
31	0.6592192984
32	0.6588868505
33	0.6581496339
34	0.6572065427
35	0.6570963888
36	0.6562874107
37	0.6555676507
38	0.6549705564
39	0.6544198571
40	0.6540782569
41	0.6531562024
42	0.6526744218
43	0.6517368549
44	0.6511392163
45	0.6505184339
46	0.6497017584
47	0.6490938695
48	0.6484684467
49	0.6479147608
50	0.6471053179
51	0.6464813401
52	0.645954906
53	0.6451951306
54	0.6442722497
55	0.6433351837
56	0.6429447725
57	0.642505899
58	0.6421988457
59	0.6412770387
60	0.6406469255
61	0.6398744432
62	0.6388343925
63	0.6382036927
64	0.6373731474
65	0.6367215356
66	0.6359924771
67	0.635005744
68	0.6342450884
69	0.6335163765
70	0.6326846748
71	0.6323101185
72	0.6318493292
73	0.6315812864
74	0.6307220111
75	0.6300569132
76	0.6294688218
77	0.6291009128
78	0.6287036389
79	0.6280805364
80	0.6270869786
81	0.6263065435
82	0.6257999625
83	0.6247542578
84	0.6235335654
85	0.6230126802
86	0.6226986248
87	0.6215704309
88	0.6209156819
89	0.6203299913
90	0.6199938815
91	0.6193428137
92	0.618781078
93	0.618199734
94	0.617391685
95	0.6166713315
96	0.6164804807
97	0.6155094183
98	0.6145868102
99	0.6139386284
