iter	Passed	Remaining
0	162	16094
1	167	8194
2	171	5536
3	174	4192
4	177	3380
5	182	2859
6	185	2466
7	189	2182
8	193	1955
9	196	1768
10	197	1599
11	200	1467
12	203	1359
13	204	1259
14	206	1171
15	208	1094
16	210	1028
17	212	968
18	214	914
19	216	867
20	219	823
21	220	782
22	222	743
23	223	708
24	226	678
25	228	650
26	230	622
27	232	597
28	233	571
29	235	549
30	236	527
31	238	506
32	240	487
33	242	470
34	244	453
35	245	436
36	247	421
37	249	407
38	251	392
39	252	379
40	254	366
41	256	354
42	258	342
43	260	331
44	263	322
45	265	311
46	267	301
47	269	291
48	271	282
49	273	273
50	275	265
51	278	256
52	280	248
53	282	240
54	284	232
55	286	225
56	288	217
57	290	210
58	293	203
59	294	196
60	296	189
61	298	182
62	300	176
63	303	170
64	305	164
65	307	158
66	309	152
67	311	146
68	313	140
69	315	135
70	317	129
71	319	124
72	321	118
73	323	113
74	325	108
75	327	103
76	329	98
77	331	93
78	333	88
79	335	83
80	337	79
81	339	74
82	341	69
83	343	65
84	344	60
85	346	56
86	348	52
87	350	47
88	352	43
89	354	39
90	356	35
91	358	31
92	359	27
93	361	23
94	364	19
95	366	15
96	367	11
97	369	7
98	371	3
99	373	0
