symbol,option_symbol,entry_time,exit_time,duration_minutes,option_type,strike,lots,units,entry_premium,exit_premium,highest_premium,exit_reason,gross_pnl,taxes_and_brokerage,net_pnl,return_pct,capital_after
NIFTY,NIFTY 25450 CE,2026-01-01T11:30:00,2026-01-01T11:35:00,5.0,CE,25450,1,65,183.94,168.04,183.94,STOP_LOSS_HIT,-1033.5,74.86,-1108.36,-0.0864,23891.64
NIFTY,NIFTY 25400 CE,2026-01-01T11:40:00,2026-01-01T11:45:00,5.0,CE,25400,1,65,169.99,155.3,169.99,STOP_LOSS_HIT,-954.85,72.78,-1027.63,-0.0864,22864.01
NIFTY,NIFTY 25350 CE,2026-01-01T11:50:00,2026-01-01T11:55:00,5.0,CE,25350,1,65,171.09,156.3,171.09,STOP_LOSS_HIT,-961.35,72.94,-1034.29,-0.0864,21829.72
NIFTY,NIFTY 25300 CE,2026-01-01T14:05:00,2026-01-01T14:15:00,10.0,CE,25300,1,65,182.41,208.3,237.86,TARGET_HIT,1682.85,79.65,1603.2,0.1419,23432.92
NIFTY,NIFTY 25500 CE,2026-01-01T15:00:00,2026-01-01T15:05:00,5.0,CE,25500,1,65,179.23,163.74,179.23,STOP_LOSS_HIT,-1006.85,74.16,-1081.01,-0.0864,22351.91
NIFTY,NIFTY 25550 CE,2026-01-02T09:20:00,2026-01-02T09:25:00,5.0,CE,25550,1,65,179.12,163.64,179.12,STOP_LOSS_HIT,-1006.2,74.15,-1080.35,-0.0864,21271.56
NIFTY,NIFTY 25600 CE,2026-01-02T09:30:00,2026-01-02T09:35:00,5.0,CE,25600,1,65,157.93,144.28,157.93,STOP_LOSS_HIT,-887.25,70.96,-958.21,-0.0864,20313.35
NIFTY,NIFTY 25550 CE,2026-01-02T10:45:00,2026-01-02T10:50:00,5.0,CE,25550,1,65,160.56,146.69,160.56,STOP_LOSS_HIT,-901.55,71.36,-972.91,-0.0864,19340.44
NIFTY,NIFTY 25550 CE,2026-01-02T11:15:00,2026-01-02T11:25:00,10.0,CE,25550,1,65,165.72,189.25,213.09,TARGET_HIT,1529.45,76.67,1452.78,0.142,20793.22
NIFTY,NIFTY 25650 CE,2026-01-02T11:30:00,2026-01-02T11:40:00,10.0,CE,25650,1,65,162.98,186.12,196.85,TARGET_HIT,1504.1,76.19,1427.91,0.142,22221.13
NIFTY,NIFTY 25750 CE,2026-01-02T11:45:00,2026-01-02T11:50:00,5.0,CE,25750,1,65,162.86,148.78,162.86,STOP_LOSS_HIT,-915.2,71.71,-986.91,-0.0865,21234.22
NIFTY,NIFTY 25650 CE,2026-01-02T11:55:00,2026-01-02T12:00:00,5.0,CE,25650,1,65,184.16,168.24,184.16,STOP_LOSS_HIT,-1034.8,74.91,-1109.71,-0.0864,20124.51
NIFTY,NIFTY 25600 CE,2026-01-02T12:05:00,2026-01-02T12:10:00,5.0,CE,25600,1,65,180.23,205.81,211.61,TARGET_HIT,1662.7,79.26,1583.44,0.1419,21707.95
NIFTY,NIFTY 25450 PE,2026-01-02T13:20:00,2026-01-02T13:25:00,5.0,PE,25450,1,65,158.38,144.69,158.38,STOP_LOSS_HIT,-889.85,71.03,-960.88,-0.0864,20747.07
NIFTY,NIFTY 25550 PE,2026-01-02T13:30:00,2026-01-02T13:35:00,5.0,PE,25550,1,65,165.65,151.33,165.65,STOP_LOSS_HIT,-930.8,72.12,-1002.92,-0.0864,19744.15
NIFTY,NIFTY 25550 CE,2026-01-02T13:55:00,2026-01-02T14:05:00,10.0,CE,25550,1,65,177.43,202.61,205.6,TARGET_HIT,1636.7,78.75,1557.95,0.1419,21302.1
NIFTY,NIFTY 25550 CE,2026-01-02T14:10:00,2026-01-02T14:20:00,10.0,CE,25550,1,65,181.89,182.42,200.76,STOP_LOSS_HIT,34.45,76.51,-42.06,0.0029,21260.04
NIFTY,NIFTY 25550 CE,2026-01-02T14:30:00,2026-01-02T14:45:00,15.0,CE,25550,1,65,160.8,183.63,196.55,TARGET_HIT,1483.95,75.8,1408.15,0.142,22668.19
NIFTY,NIFTY 25550 CE,2026-01-02T14:50:00,2026-01-02T14:55:00,5.0,CE,25550,1,65,177.55,162.21,177.55,STOP_LOSS_HIT,-997.1,73.91,-1071.01,-0.0864,21597.18
NIFTY,NIFTY 25550 PE,2026-01-02T15:10:00,2026-01-02T15:20:00,10.0,PE,25550,1,65,162.74,148.67,162.74,STOP_LOSS_HIT,-914.55,71.68,-986.23,-0.0865,20610.95
NIFTY,NIFTY 25600 PE,2026-01-02T15:25:00,2026-01-05T09:15:00,3950.0,PE,25600,1,65,167.17,152.72,167.17,STOP_LOSS_HIT,-939.25,72.35,-1011.6,-0.0864,19599.35
NIFTY,NIFTY 25850 CE,2026-01-05T09:20:00,2026-01-05T09:35:00,15.0,CE,25850,1,65,168.54,153.97,179.12,STOP_LOSS_HIT,-947.05,72.56,-1019.61,-0.0864,18579.74
NIFTY,NIFTY 25750 CE,2026-01-05T09:40:00,2026-01-05T09:45:00,5.0,CE,25750,1,65,170.28,155.56,170.28,STOP_LOSS_HIT,-956.8,72.82,-1029.62,-0.0864,17550.12
NIFTY,NIFTY 25700 CE,2026-01-05T09:50:00,2026-01-05T10:00:00,10.0,CE,25700,1,65,156.5,178.71,181.78,TARGET_HIT,1443.65,75.03,1368.62,0.1419,18918.74
NIFTY,NIFTY 25900 CE,2026-01-05T10:50:00,2026-01-05T10:55:00,5.0,CE,25900,1,65,164.94,150.68,164.94,STOP_LOSS_HIT,-926.9,72.01,-998.91,-0.0865,17919.83
NIFTY,NIFTY 25800 CE,2026-01-05T11:00:00,2026-01-05T11:10:00,10.0,CE,25800,1,65,168.74,154.15,168.74,STOP_LOSS_HIT,-948.35,72.58,-1020.93,-0.0865,16898.9
NIFTY,NIFTY 25650 PE,2026-01-05T12:00:00,2026-01-05T12:05:00,5.0,PE,25650,1,65,157.98,144.32,157.98,STOP_LOSS_HIT,-887.9,70.97,-958.87,-0.0865,15940.03
NIFTY,NIFTY 25650 PE,2026-01-05T12:10:00,2026-01-05T12:15:00,5.0,PE,25650,1,65,164.4,150.19,164.4,STOP_LOSS_HIT,-923.65,71.93,-995.58,-0.0864,14944.45
NIFTY,NIFTY 25700 PE,2026-01-05T12:25:00,2026-01-05T12:45:00,20.0,PE,25700,1,65,165.67,189.19,214.94,TARGET_HIT,1528.8,76.66,1452.14,0.142,16396.59
