asset_class,model_name,passing_folds,mean_oos_win_rate,std_oos_win_rate,mean_wfe,mean_oos_profit_factor,mean_oos_return,gate_majority_wfe,gate_mean_win_rate,gate_mean_profit_factor,promotion_eligible
EQUITY,RidgeClassifier,1/3,40.17,5.99,0.776,1.0,-0.04,False,False,False,False
EQUITY,LogisticRegression_L2,1/3,39.69,5.61,0.769,0.97,-0.07,False,False,False,False
EQUITY,RandomForest_Robust,1/3,37.49,7.44,0.568,0.93,-0.16,False,False,False,False
EQUITY,LightGBM_Regularized,1/3,37.48,8.14,0.56,0.91,-0.19,False,False,False,False
EQUITY,ExtraTrees_Robust,1/3,37.22,10.44,0.611,0.95,-0.2,False,False,False,False
EQUITY,XGBoost_Regularized,1/3,36.24,8.06,0.524,0.89,-0.22,False,False,False,False
EQUITY,DecisionTree_Shallow,0/3,35.09,5.71,0.593,0.76,-0.33,False,False,False,False
EQUITY,CatBoost_Regularized,0/3,34.18,1.62,0.559,0.82,-0.24,False,False,False,False
OPTIONS,XGBoost_Regularized,1/3,50.62,10.39,0.542,2.03,0.29,False,True,True,False
OPTIONS,DecisionTree_Shallow,0/3,46.01,41.21,0.656,1.93,0.18,False,False,True,False
OPTIONS,LightGBM_Regularized,1/3,45.13,8.52,0.489,1.52,0.16,False,False,True,False
OPTIONS,RandomForest_Robust,0/3,31.95,10.81,0.365,0.68,-0.19,False,False,False,False
OPTIONS,RidgeClassifier,0/3,26.67,18.86,0.345,0.69,0.01,False,False,False,False
OPTIONS,LogisticRegression_L2,0/3,25.37,18.04,0.326,0.6,-0.04,False,False,False,False
OPTIONS,CatBoost_Regularized,0/3,24.11,17.21,0.28,0.55,-0.32,False,False,False,False
OPTIONS,ExtraTrees_Robust,0/3,12.56,17.77,0.158,0.29,-0.33,False,False,False,False
